"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42497","test_Signup_002","testCases","Sat Aug 10 14:03:09 IST 2024","passed","Sat Aug 10 14:03:51 IST 2024","Test_UserProfile","test_UserProfile","",""
"self.Log.debug(""This is debug"")
        self.Log.info(""This is info"")
        self.Log.warning(""This is warning"")
        self.Log.error(""This is error"")
        self.Log.critical(""This is critical"")","7307","BankApp url testing 01","testCases","Sat Aug 10 14:03:09 IST 2024","passed","Sat Aug 10 14:03:16 IST 2024","Test_UserProfile","test_UserProfile","",""
